"isbn","title","author","category","status"
"978-979-3062-79-2","Laskar Pelangi","Andrea Hirata","Novel","Dipinjam"
"978-979-97312-3-4","Bumi Manusia","Pramoedya Ananta Toer","Sejarah","Dipinjam"
"978-602-03-3295-6","Garis Waktu","Fiersa Besari","Novel","Dipinjam"
"978-623-00-0292-3","Atomic Habits","James Clear","Pengembangan Diri","Dipinjam"
"978-979-22-5248-8","Negeri 5 Menara","Ahmad Fuadi","Novel","Dipinjam"
"978-602-8519-99-9","Cantik Itu Luka","Eka Kurniawan","Fiksi","Tersedia"
"978-602-424-694-5","Sebuah Seni untuk Bersikap Bodo Amat","Mark Manson","Pengembangan Diri","Tersedia"
"978-979-1227-74-3","Sang Pemimpi","Andrea Hirata","Novel","Tersedia"
"978-979-3062-79-3","Ronggeng Dukuh Paruk","Ahmad Tohari","Sastra","Tersedia"
"978-602-06-3951-7","Filosofi Teras","Henry Manampiring","Filsafat","Dipinjam"
"978-602-291-633-8","Hujan","Tere Liye","Novel","Dipinjam"
"978-979-91-0027-4","Supernova: Ksatria, Puteri, dan Bintang Jatuh","Dee Lestari","Fiksi","Dipinjam"
"978-979-3062-79-4","Tenggelamnya Kapal Van Der Wijck","Hamka","Sastra","Dipinjam"
"978-602-03-8593-8","Pulang","Leila S. Chudori","Sejarah","Tersedia"
"978-602-06-2533-6","Laut Bercerita","Leila S. Chudori","Sejarah","Dipinjam"
"978-979-91-0196-7","5 cm","Donny Dhirgantoro","Novel","Tersedia"
"978-979-407-187-9","Robohnya Surau Kami","A.A. Navis","Sastra","Tersedia"
"978-602-03-8431-3","Dilan: Dia adalah Dilanku Tahun 1990","Pidi Baiq","Novel","Tersedia"
"978-602-424-695-2","The Psychology of Money","Morgan Housel","Bisnis","Dipinjam"
"978-979-97312-3-5","Anak Semua Bangsa","Pramoedya Ananta Toer","Sejarah","Tersedia"
"978-979-1097-59-9","Ayat-Ayat Cinta","Habiburrahman El Shirazy","Religi","Tersedia"
"978-602-8519-88-8","Lelaki Harimau","Eka Kurniawan","Fiksi","Tersedia"
"978-623-7351-29-1","Berani Tidak Disukai","Ichiro Kishimi","Filsafat","Dipinjam"
"978-979-3062-79-5","Edensor","Andrea Hirata","Novel","Tersedia"
"978-602-06-3952-4","Mindset","Carol S. Dweck","Psikologi","Tersedia"
"978-602-291-634-5","Tentang Kamu","Tere Liye","Novel","Tersedia"
"978-979-91-0028-1","Aroma Karsa","Dee Lestari","Fiksi","Tersedia"
"978-979-3062-79-6","Di Bawah Lindungan Ka'bah","Hamka","Sastra","Tersedia"
"978-602-03-8594-5","Catatan Seorang Demonstran","Soe Hok Gie","Biografi","Dipinjam"
"978-602-06-2534-3","Orang-Orang Biasa","Andrea Hirata","Novel","Tersedia"
"978-979-91-0197-4","Perahu Kertas","Dee Lestari","Novel","Tersedia"
"978-979-407-188-6","Habis Gelap Terbitlah Terang","R.A. Kartini","Biografi","Tersedia"
"978-602-03-8432-0","Rich Dad Poor Dad","Robert T. Kiyosaki","Bisnis","Tersedia"
"978-602-424-696-9","Start with Why","Simon Sinek","Bisnis","Dipinjam"
"978-979-97312-3-6","Jejak Langkah","Pramoedya Ananta Toer","Sejarah","Dipinjam"
"978-979-1097-60-5","Ketika Cinta Bertasbih","Habiburrahman El Shirazy","Religi","Tersedia"
"978-602-8519-89-5","Seperti Dendam, Rindu Harus Dibayar Tuntas","Eka Kurniawan","Fiksi","Tersedia"
"978-623-7351-30-7","Why? People","YeaRimDang","Anak-Anak","Tersedia"
"978-979-3062-79-7","Maryamah Karpov","Andrea Hirata","Novel","Tersedia"
"978-602-06-3953-1","Homo Deus: Masa Depan Umat Manusia","Yuval Noah Harari","Sains","Tersedia"
"978-602-291-635-2","Pulang-Pergi","Tere Liye","Novel","Tersedia"
"978-979-91-0029-8","Madre","Dee Lestari","Fiksi","Tersedia"
"978-979-3062-79-8","Ayah","Andrea Hirata","Novel","Tersedia"
"978-602-03-8595-2","Gadis Kretek","Ratih Kumala","Fiksi","Dipinjam"
"978-602-06-2535-0","Aku Ini Binatang Jalang","Chairil Anwar","Puisi","Dipinjam"
"978-979-91-0198-1","Manusia Setengah Salmon","Raditya Dika","Komedi","Tersedia"
"978-979-407-189-3","Siti Nurbaya","Marah Rusli","Sastra","Dipinjam"
"978-602-03-8433-7","How to Win Friends and Influence People","Dale Carnegie","Pengembangan Diri","Tersedia"
"978-602-424-697-6","Thinking, Fast and Slow","Daniel Kahneman","Psikologi","Tersedia"
